Date,GoogleTrend,State
2015-03-22,58,BE
2015-03-29,69,BE
2015-04-05,64,BE
2015-04-12,65,BE
2015-04-19,58,BE
2015-04-26,69,BE
2015-05-03,67,BE
2015-05-10,58,BE
2015-05-17,75,BE
2015-05-24,68,BE
2015-05-31,74,BE
2015-06-07,61,BE
2015-06-14,70,BE
2015-06-21,60,BE
2015-06-28,79,BE
2015-07-05,66,BE
2015-07-12,75,BE
2015-07-19,68,BE
2015-07-26,78,BE
2012-12-30,44,BB
2013-01-06,57,BB
2013-01-13,49,BB
2013-01-20,48,BB
2013-01-27,38,BB
2013-02-03,56,BB
2013-02-10,33,BB
2013-02-17,57,BB
2013-02-24,44,BB
2013-03-03,51,BB
2013-03-10,49,BB
2013-03-17,51,BB
2013-03-24,47,BB
2013-03-31,44,BB
2013-04-07,50,BB
2013-04-14,37,BB
2013-04-21,56,BB
2013-04-28,55,BB
2013-05-05,50,BB
2013-05-12,55,BB
2013-05-19,46,BB
2013-05-26,56,BB
2013-06-02,57,BB
2013-06-09,45,BB
2013-06-16,69,BB
2013-06-23,60,BB
2013-06-30,62,BB
2013-07-07,52,BB
2013-07-14,67,BB
2013-07-21,55,BB
2013-07-28,63,BB
2013-08-04,47,BB
2013-08-11,64,BB
2013-08-18,55,BB
2013-08-25,58,BB
2013-09-01,50,BB
2013-09-08,58,BB
2013-09-15,58,BB
2013-09-22,56,BB
2013-09-29,49,BB
2013-10-06,56,BB
2013-10-13,49,BB
2013-10-20,63,BB
2013-10-27,48,BB
2013-11-03,64,BB
2013-11-10,54,BB
2013-11-17,65,BB
2013-11-24,60,BB
2013-12-01,75,BB
2013-12-08,82,BB
2013-12-15,100,BB
2013-12-22,69,BB
2013-12-29,51,BB
2014-01-05,58,BB
2014-01-12,41,BB
2014-01-19,63,BB
2014-01-26,54,BB
2014-02-02,57,BB
2014-02-09,43,BB
2014-02-16,55,BB
2014-02-23,50,BB
2014-03-02,58,BB
2014-03-09,46,BB
2014-03-16,61,BB
2014-03-23,49,BB
2014-03-30,52,BB
2014-04-06,47,BB
2014-04-13,55,BB
2014-04-20,45,BB
2014-04-27,59,BB
2014-05-04,58,BB
2014-05-11,53,BB
2014-05-18,61,BB
2014-05-25,50,BB
2014-06-01,59,BB
2014-06-08,51,BB
2014-06-15,61,BB
2014-06-22,55,BB
2014-06-29,68,BB
2014-07-06,59,BB
2014-07-13,64,BB
2014-07-20,58,BB
2014-07-27,77,BB
2014-08-03,64,BB
2014-08-10,53,BB
2014-08-17,68,BB
2014-08-24,56,BB
2014-08-31,56,BB
2014-09-07,46,BB
2014-09-14,60,BB
2014-09-21,53,BB
2014-09-28,57,BB
2014-10-05,63,BB
2014-10-12,48,BB
2014-10-19,64,BB
2014-10-26,58,BB
2014-11-02,63,BB
2014-11-09,74,BB
2014-11-16,66,BB
2014-11-23,81,BB
2014-11-30,79,BB
2014-12-07,87,BB
2014-12-14,83,BB
2014-12-21,56,BB
2014-12-28,62,BB
2015-01-04,57,BB
2015-01-11,54,BB
2015-01-18,55,BB
2015-01-25,61,BB
2015-02-01,55,BB
2015-02-08,52,BB
2015-02-15,61,BB
2015-02-22,58,BB
2015-03-01,67,BB
2015-03-08,51,BB
2015-03-15,60,BB
2015-03-22,48,BB
2015-03-29,65,BB
2015-04-05,47,BB
2015-04-12,56,BB
2015-04-19,47,BB
2015-04-26,67,BB
2015-05-03,58,BB
2015-05-10,56,BB
2015-05-17,67,BB
2015-05-24,51,BB
2015-05-31,60,BB
2015-06-07,54,BB
2015-06-14,60,BB
2015-06-21,45,BB
2015-06-28,70,BB
2015-07-05,67,BB
